1,1,0.01639344262295082,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
10,1,0.16393442622950818,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
10,2,0.16393442622950818,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
11,1,0.18032786885245902,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
11,2,0.18032786885245902,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
12,1,0.19672131147540983,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
12,2,0.19672131147540983,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
13,1,0.21311475409836064,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
13,2,0.21311475409836064,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
14,1,0.22950819672131148,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
14,2,0.22950819672131148,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
15,1,0.2459016393442623,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
15,2,0.2459016393442623,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
16,1,0.26229508196721313,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
16,2,0.26229508196721313,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
17,1,0.2786885245901639,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
17,2,0.2786885245901639,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
18,1,0.29508196721311475,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
18,2,0.29508196721311475,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
19,1,0.3114754098360656,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
19,2,0.3114754098360656,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
20,1,0.32786885245901637,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
20,2,0.32786885245901637,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
21,1,0.3442622950819672,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
21,2,0.3442622950819672,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
22,1,0.36065573770491804,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
22,2,0.36065573770491804,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
23,1,0.3770491803278688,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
23,2,0.3770491803278688,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
24,1,0.39344262295081966,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
24,2,0.39344262295081966,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
25,1,0.4098360655737705,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
25,2,0.4098360655737705,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
26,1,0.4262295081967213,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
26,2,0.4262295081967213,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
27,1,0.4426229508196721,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
27,2,0.4426229508196721,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
28,1,0.45901639344262296,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
28,2,0.45901639344262296,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
29,1,0.47540983606557374,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
29,2,0.47540983606557374,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
30,1,0.4918032786885246,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
30,2,0.4918032786885246,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
31,1,0.5081967213114754,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 75 kW,])
31,2,0.5081967213114754,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
32,1,0.5245901639344263,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 75 kW,])
32,2,0.5245901639344263,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 0 kW,, 22-06: 50 kW,])
33,1,0.5409836065573771,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
33,2,0.5409836065573771,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 0 kW,, 22-06: 50 kW,])
34,1,0.5573770491803278,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 75 kW,])
34,2,0.5573770491803278,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 0 kW,, 22-06: 50 kW,])
35,1,0.5737704918032787,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 50 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
35,2,0.5737704918032787,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 25 kW,, 22-06: 0 kW,])
36,1,0.5901639344262295,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 50 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
36,2,0.5901639344262295,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 25 kW,, 22-06: 0 kW,])
37,1,0.6065573770491803,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 100 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
37,2,0.6065573770491803,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 25 kW,, 22-06: 0 kW,])
38,1,0.6229508196721312,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 75 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
38,2,0.6229508196721312,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 25 kW,, 22-06: 0 kW,])
39,1,0.639344262295082,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
39,2,0.639344262295082,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 25 kW,, 22-06: 25 kW,])
40,1,0.6557377049180327,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
40,2,0.6557377049180327,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 25 kW,, 22-06: 25 kW,])
41,1,0.6721311475409836,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 50 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 50 kW,])
41,2,0.6721311475409836,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 25 kW,])
42,1,0.6885245901639344,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 50 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 50 kW,])
42,2,0.6885245901639344,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 75 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
43,1,0.7049180327868853,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 50 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 0 kW,])
43,2,0.7049180327868853,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 25 kW,, 22-06: 25 kW,])
44,1,0.7213114754098361,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 0 kW,, 19-22: 75 kW,, 22-06: 100 kW,])
44,2,0.7213114754098361,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 25 kW,, 22-06: 50 kW,])
45,1,0.7377049180327869,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 50 kW,, 09-19: 50 kW,, 19-22: 100 kW,, 22-06: 25 kW,])
45,2,0.7377049180327869,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 25 kW,, 22-06: 0 kW,])
46,1,0.7540983606557377,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 100 kW,, 19-22: 100 kW,, 22-06: 50 kW,])
46,2,0.7540983606557377,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 25 kW,, 22-06: 50 kW,])
47,1,0.7704918032786885,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 100 kW,, 19-22: 100 kW,, 22-06: 25 kW,])
47,2,0.7704918032786885,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 25 kW,, 22-06: 25 kW,])
48,1,0.7868852459016393,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 0 kW,, 19-22: 50 kW,, 22-06: 75 kW,])
48,2,0.7868852459016393,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 25 kW,, 22-06: 75 kW,])
49,1,0.8032786885245902,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 100 kW,, 19-22: 75 kW,, 22-06: 50 kW,])
49,2,0.8032786885245902,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 25 kW,, 22-06: 75 kW,])
50,1,0.819672131147541,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 50 kW,, 19-22: 25 kW,, 22-06: 100 kW,])
50,2,0.819672131147541,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 50 kW,, 22-06: 25 kW,])
51,1,0.8360655737704918,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 25 kW,, 22-06: 100 kW,])
51,2,0.8360655737704918,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 25 kW,, 22-06: 100 kW,])
52,1,0.8524590163934426,BoulwareNegotiationParty@0,(Accept  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 25 kW,, 22-06: 100 kW,])
agreement,Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 25 kW,, 22-06: 100 kW,],0.6300274011797506,0.8868282421041419
